cycle         out_valid     next_out                                     data_out  
106                 1                   1                   1:00000000:00000000000000000000000  
107                 0                   0                                              ----  
108                 1                   1                   1:11111111:00000000000000000000000  
109                 1                   1                   0:10111000:10101100100000100010100  
110                 0                   0                                              ----  
111                 0                   0                                              ----  
112                 1                   1                   0:11011001:00111101011110001100011  
113                 1                   1                   1:11111111:00000000000000000000000  
114                 1                   1                   1:00000000:00000000001000101011001  
115                 1                   1                   0:11111010:01100010101100010110110  
116                 1                   1                   0:10010100:00011011011010111010110  
117                 1                   1                   1:00000000:00000000000000000000000  
118                 1                   1                   0:01111000:01000110011001110010010  
119                 1                   1                   0:00000000:00000000000000000000000  
120                 1                   1                   1:00000000:00101100010001111010110  
121                 0                   0                                              ----  
122                 0                   1                                              ----  
123                 0                   0                                              ----  
124                 1                   1                   0:00110010:01110110101101100110100  
125                 1                   1                   1:00000000:00000000000000000000000  
126                 1                   1                   0:00001101:00000010000101110011011  
127                 1                   1                   0:11111111:00000000000000000000001  
128                 1                   1                   1:00110010:00011100101010010011001  
129                 1                   1                   0:00111110:11001110010100010000101  
130                 0                   0                                              ----  
131                 1                   1                   0:00000000:00000000000000000000000  
132                 0                   0                                              ----  
133                 1                   1                   0:01001010:01100111001011100010111  
134                 1                   1                   1:00000000:00000000000000000000000  
135                 1                   1                   1:11111111:00000000000000000000000  
136                 1                   1                   0:00110111:01111101111101111111011  
137                 1                   1                   0:00000000:00000000000000000000000  
138                 1                   1                   0:01011011:01001010011001100011101  
139                 1                   1                   1:01111010:11001000100010101000111  
140                 0                   1                                              ----  
141                 0                   0                                              ----  
142                 1                   1                   1:11111111:00000000000000000000000  
143                 1                   1                   0:01000110:10000011011010100000110  
144                 0                   0                                              ----  
145                 1                   1                   1:00000000:00000000000000000000000  
146                 1                   1                   0:01010101:10110000111101101110110  
147                 1                   1                   1:11010001:11001010001000101111001  
148                 1                   1                   0:01011110:10101001001000001100011  
149                 1                   1                   0:11011000:00000001100101001101001  
150                 1                   1                   0:00010111:11010000101111001110110  
151                 1                   1                   1:00001110:00111111101111000010001  
152                 1                   1                   1:01010110:01011100001000000011000  
153                 1                   1                   0:01001101:10011111010101111110100  
154                 0                   1                                              ----  
155                 1                   1                   0:11111111:00000000000000000000001  
156                 1                   1                   0:00001111:10100100001000100000101  
157                 1                   1                   0:01110001:00100101101000000111010  
158                 1                   1                   0:10011100:11101101001010101010111  
159                 1                   1                   1:11111000:01000010111010000001000  
160                 1                   1                   0:00100000:00000011011110101101101  
161                 1                   1                   0:00000000:00000000000000000000000  
162                 1                   1                   1:00011101:11110101101000100110000  
163                 1                   1                   1:11111111:00000000000000000000000  
164                 1                   1                   0:00001101:10000100100010111011010  
165                 1                   1                   1:11111111:00000000000000000000000  
166                 1                   1                   0:11111111:00000000000000000000001  
167                 0                   0                                              ----  
168                 1                   1                   1:11111111:00000000000000000000000  
169                 1                   1                   0:00111101:10001101001110011000101  
170                 1                   1                   0:10101010:00110110101001100111000  
171                 1                   1                   0:00000000:00000000000000000000000  
172                 1                   1                   1:11111111:00000000000000000000000  
173                 1                   1                   0:11111111:00000000000000000000001  
174                 1                   1                   0:01101101:01010110001011101101111  
175                 1                   1                   1:00101111:00111111000000111100111  
176                 1                   1                   1:00110001:01010001010010100010100  
177                 1                   1                   0:01110000:01010100011001111000111  
178                 1                   1                   0:10110110:00101111101111100001011  
179                 1                   1                   0:00000000:00000000000000000000000  
180                 1                   1                   0:00000000:00000000000000000000000  
181                 1                   1                   1:11001011:00001100101010111011101  
182                 1                   1                   0:00000000:00000000000000000000000  
183                 0                   0                                              ----  
184                 1                   1                   1:11111111:00000000000000000000000  
185                 1                   1                   0:11111111:00000000000000000000000  
186                 0                   0                                              ----  
187                 1                   1                   1:11010000:00011011111110101110000  
188                 1                   1                   1:10011101:00101100011000110101001  
189                 1                   1                   1:11111111:00000000000000000000000  
190                 0                   0                                              ----  
191                 1                   1                   0:11111111:00000000000000000000000  
192                 1                   1                   0:00000000:00000000000000000000000  
193                 1                   1                   0:10111100:01010101101101010111011  
194                 1                   1                   1:01010101:11000110011010010111101  
195                 1                   1                   0:11111111:00000000000000000000001  
196                 1                   1                   0:01010001:00010110101111010010110  
197                 0                   0                                              ----  
198                 1                   1                   1:10110111:01001010010100111101101  
199                 1                   1                   1:10101011:01101110010110111111000  
200                 1                   1                   0:10000010:00011111011000100111111  
201                 1                   1                   1:00000000:00000000000000000000000  
202                 0                   1                                              ----  
203                 1                   1                   0:11000100:00011000111011010111001  
204                 0                   1                                              ----  
205                 1                   1                   0:00100010:11111110111001011000100  
206                 0                   1                                              ----  
207                 1                   1                   1:11111111:00000000000000000000000  
208                 0                   1                                              ----  
209                 0                   0                                              ----  
210                 1                   1                   0:10111011:11001000110111101101101  
211                 0                   0                                              ----  
212                 1                   1                   0:11111111:00000000000000000000000  
213                 0                   1                                              ----  
214                 0                   0                                              ----  
215                 0                   0                                              ----  
216                 1                   1                   0:00111101:10001010110011110000100  
217                 1                   1                   1:00000000:00000000000000000000000  
218                 1                   1                   1:11011001:01111010000001101011011  
219                 0                   0                                              ----  
220                 1                   1                   1:00000000:00000000000000000000000  
221                 1                   1                   0:11101011:11101110001011000011101  
222                 1                   1                   0:11111111:00000000000000000000001  
223                 1                   1                   1:00000000:00000000000000000000000  
224                 0                   0                                              ----  
225                 1                   1                   1:01110001:11110001010111000011101  
226                 0                   0                                              ----  
227                 1                   1                   0:11011111:10001001111000001001001  
228                 1                   1                   0:01101101:00011110111001110110000  
229                 1                   1                   0:10010010:00011110011010100101010  
230                 1                   1                   0:11010000:10000111101110111011011  
231                 1                   1                   0:10111001:01110101101100011100110  
232                 1                   1                   0:01100010:01001010010100110010111  
233                 1                   1                   1:01110001:00101111111111111011111  
234                 1                   1                   1:11010001:10101111110000100000110  
235                 0                   1                                              ----  
236                 1                   1                   1:11001011:00011111100101111010110  
237                 0                   0                                              ----  
238                 1                   1                   0:01011111:10010000010110000111101  
239                 1                   1                   0:00000000:00000000000000000000000  
240                 1                   1                   0:00000000:00000000000000000000000  
241                 1                   1                   0:00000000:00000000000000000000000  
242                 0                   0                                              ----  
243                 1                   1                   0:11111111:00000000000000000000000  
244                 1                   1                   1:10001010:11000001111111001100001  
245                 1                   1                   0:11111111:00000000000000000000000  
246                 1                   1                   0:00000000:00000000000000000000000  
247                 1                   1                   0:11111111:00000000000000000000000  
248                 1                   1                   1:11001000:00000001011011110100000  
249                 1                   1                   0:01001001:10100110010101111100100  
250                 1                   1                   1:00100100:01010011000010100010011  
251                 1                   1                   0:01010000:10110011001101111100011  
252                 0                   0                                              ----  
253                 1                   1                   0:11111111:00000000000000000000000  
254                 1                   1                   0:11111111:00000000000000000000000  
255                 0                   0                                              ----  
256                 1                   1                   0:10010100:10110111110011100100000  
257                 1                   1                   0:11111111:00000000000000000000000  
258                 1                   1                   0:11111000:11000101100101101101011  
259                 0                   0                                              ----  
260                 0                   0                                              ----  
261                 1                   1                   0:11111111:00000000000000000000001  
262                 0                   1                                              ----  
263                 1                   1                   0:00100010:11000110001010001101001  
264                 0                   0                                              ----  
265                 1                   1                   1:00000000:00000000000000000000000  
266                 1                   1                   0:11100010:11110100010010111011001  
267                 0                   0                                              ----  
268                 1                   1                   0:00111010:11011000101100100001010  
269                 0                   0                                              ----  
270                 1                   1                   1:01111001:00100011000111000001000  
271                 1                   1                   0:10010110:00000011111010001000100  
272                 1                   1                   1:11111111:00000000000000000000000  
273                 1                   1                   1:01110000:01001101100100001010011  
274                 0                   0                                              ----  
275                 0                   0                                              ----  
276                 1                   1                   0:10100101:00101100011110111001000  
277                 1                   1                   1:11111111:00000000000000000000000  
278                 0                   0                                              ----  
279                 1                   1                   0:11111111:00000000000000000000000  
280                 1                   1                   0:11111111:00000000000000000000001  
281                 1                   1                   1:01000110:10110101111011100111000  
282                 1                   1                   0:10100110:01101110101111100000000  
283                 1                   1                   1:01110100:01001110101011110111101  
284                 1                   1                   0:11100011:01111000111100000111010  
285                 1                   1                   1:00000000:00000000000000000000001  
286                 1                   1                   1:01011000:00001011000000000101110  
287                 1                   1                   1:11111111:00000000000000000000000  
288                 0                   0                                              ----  
289                 1                   1                   1:00000010:11111001011010110110110  
290                 1                   1                   0:00000010:00101100001111011111110  
291                 1                   1                   0:11111111:00000000000000000000001  
292                 1                   1                   1:01010010:11010101000000111111100  
293                 0                   1                                              ----  
294                 1                   1                   0:11111111:00000000000000000000001  
295                 1                   1                   1:01100011:01101110110010000111101  
296                 0                   1                                              ----  
297                 0                   0                                              ----  
298                 1                   1                   0:01000010:01111111111001010110110  
299                 1                   1                   0:11101001:00111011000010101011100  
300                 1                   1                   0:00000000:00000000000000000000000  
301                 1                   1                   0:00000110:00001011110110000111110  
302                 1                   1                   1:00000000:00000000000000000000000  
303                 1                   1                   1:01000010:11111011111010011001111  
304                 1                   1                   0:11111111:00000000000000000000001  
305                 1                   1                   0:10011101:10011010010100110000111  
306                 0                   0                                              ----  
307                 1                   1                   0:01000000:01110010010011001010011  
308                 1                   1                   1:10011010:10110110111110111110101  
309                 1                   1                   0:11111111:00000000000000000000001  
310                 0                   1                                              ----  
311                 1                   1                   1:11110010:00111111110100111111001  
312                 1                   1                   0:00010001:01011011101001111010100  
313                 0                   1                                              ----  
314                 1                   1                   1:00010111:00010010001100010110011  
315                 0                   0                                              ----  
316                 0                   0                                              ----  
317                 1                   1                   0:00011011:01110011001011110111010  
318                 1                   1                   1:10010010:00010111001011001110111  
319                 1                   1                   0:10110000:00111011001100000100101  
320                 1                   1                   1:10100110:00101111100111101111111  
321                 1                   1                   1:01100100:11111011101101100101001  
322                 1                   1                   0:00000000:00000000000000000000000  
323                 0                   0                                              ----  
324                 1                   1                   0:10111111:01000101111000010101010  
325                 0                   0                                              ----  
326                 1                   1                   1:11111111:00000000000000000000000  
327                 1                   1                   0:11111111:00000000000000000000000  
328                 1                   1                   0:11110110:11011001011100100110011  
329                 0                   1                                              ----  
330                 1                   1                   1:00110011:01001110101010001011000  
331                 0                   0                                              ----  
332                 1                   1                   0:11010010:00110110000100011001100  
333                 1                   1                   0:01110010:00010011010010111110110  
334                 1                   1                   1:11111111:00000000000000000000000  
335                 1                   1                   1:00000000:00000000000000000000000  
336                 1                   1                   0:10010011:01110111011011000111011  
337                 1                   1                   0:10000100:00000100100000101001101  
338                 0                   1                                              ----  
339                 0                   0                                              ----  
340                 1                   1                   1:00011111:00101110110110111110100  
341                 1                   1                   0:01000111:00001100010110000001001  
342                 1                   1                   0:10001111:01111111011011111101001  
343                 1                   1                   0:11111111:00000000000000000000000  
344                 1                   1                   1:00001010:11110100100001100011010  
345                 0                   1                                              ----  
346                 0                   1                                              ----  
347                 1                   1                   1:01111011:10000101010101111111111  
348                 0                   1                                              ----  
349                 1                   1                   0:11111111:00000000000000000000000  
350                 1                   1                   1:01101001:10011011000101001001111  
351                 0                   0                                              ----  
352                 1                   1                   1:01010110:11101111100101101000111  
353                 1                   1                   0:01111001:01110110111010010011111  
354                 0                   0                                              ----  
355                 1                   1                   1:11001010:11100001011101101000010  
356                 1                   1                   0:00000000:00000000000000000000000  
357                 1                   1                   0:11111111:00000000000000000000000  
358                 0                   0                                              ----  
359                 0                   0                                              ----  
360                 1                   1                   1:00000000:11011010111111001101110  
361                 1                   1                   1:11001100:00101001100011010101000  
362                 1                   1                   1:00000000:00000000000000000000000  
363                 0                   0                                              ----  
364                 1                   1                   0:10000111:00011010000000100110110  
365                 1                   1                   1:11111111:00000000000000000000000  
366                 1                   1                   0:01011101:11011011101001100111011  
367                 1                   1                   0:11111111:00000000000000000000000  
368                 1                   1                   0:00000100:00010110111000100110011  
369                 1                   1                   0:11111111:00000000000000000000000  
370                 1                   1                   1:01001000:00000011100110011001110  
371                 1                   1                   1:10000001:01010111110011111010010  
372                 1                   1                   0:00110010:01000001101110000011000  
373                 1                   1                   1:11111111:00000000000000000000000  
374                 1                   1                   1:01111101:11100010101110100101001  
375                 0                   1                                              ----  
376                 0                   1                                              ----  
377                 0                   0                                              ----  
378                 1                   1                   0:10010111:10001001111111001011110  
379                 0                   0                                              ----  
380                 1                   1                   1:00000000:00000000000000000000000  
381                 1                   1                   1:10111101:11010011110101010101110  
382                 0                   0                                              ----  
383                 1                   1                   0:11111111:00000000000000000000000  
384                 1                   1                   1:00000000:00000000000000000000000  
385                 0                   0                                              ----  
386                 1                   1                   1:11011100:11100001011000110111000  
387                 1                   1                   1:01010000:11000100000111010100111  
388                 1                   1                   0:10001110:00100000001100011101000  
389                 1                   1                   1:00000000:00000000000000000000000  
390                 1                   1                   0:11111111:00000000000000000000000  
391                 0                   0                                              ----  
392                 1                   1                   0:10101001:01000100001101101100100  
393                 1                   1                   0:11111111:00000000000000000000001  
394                 0                   0                                              ----  
395                 1                   1                   0:01000000:01001110111100001011110  
396                 0                   0                                              ----  
397                 1                   1                   1:11001000:10001001001100100100011  
398                 1                   1                   1:10001010:00000110010011000010100  
399                 1                   1                   0:00000000:00000000000000000000000  
400                 1                   1                   1:01000100:00001101111010001111110  
401                 1                   1                   1:00000000:00000000000000001100000  
402                 0                   0                                              ----  
403                 1                   1                   0:10000011:11000110111100011111001  
404                 0                   0                                              ----  
405                 1                   1                   1:01100011:01101100100101000011110  
406                 1                   1                   0:11111111:00000000000000000000000  
407                 1                   1                   1:01100000:00011101010010111010001  
408                 1                   1                   0:10111000:10100011001100101101110  
409                 1                   1                   0:11111111:00000000000000000000001  
410                 1                   1                   0:01101110:00110011011110010010000  
411                 0                   1                                              ----  
412                 1                   1                   0:10010001:00110111010100011010111  
413                 0                   1                                              ----  
414                 1                   1                   1:11111111:00000000000000000000000  
415                 1                   1                   0:11011100:01010111011011001101001  
416                 1                   1                   1:01010100:00011010011110011101100  
417                 0                   0                                              ----  
418                 1                   1                   0:01111010:00110110011101010000111  
419                 0                   0                                              ----  
420                 1                   1                   0:11010001:10000001011100110011000  
421                 1                   1                   0:11111111:00000000000000000000000  
422                 1                   1                   0:01011000:10000000000100000001110  
423                 1                   1                   1:10110110:00001101100110100101011  
424                 1                   1                   0:11111111:00000000000000000000001  
425                 1                   1                   1:11111111:00000000000000000000000  
426                 1                   1                   0:01110011:00000000000011011110010  
427                 1                   1                   1:01100110:00000001111101010111101  
428                 1                   1                   0:10111010:11001001100001010010111  
429                 1                   1                   0:01000110:11101000011111000000110  
430                 1                   1                   1:01101010:00111110100101010000010  
431                 0                   1                                              ----  
432                 1                   1                   1:01111010:01100100011101011000000  
433                 0                   1                                              ----  
434                 1                   1                   0:11111111:00000000000000000000000  
435                 1                   1                   1:00011001:00010100101001001111000  
436                 0                   0                                              ----  
437                 1                   1                   0:10100111:01111000001011000000000  
438                 1                   1                   0:11111010:10100001001111000010100  
439                 1                   1                   1:01100110:10101111101011100000111  
440                 1                   1                   1:10010001:01001011000001111111010  
441                 1                   1                   1:10100111:00001010000011010001000  
442                 1                   1                   0:00111001:00101011010000101001111  
443                 1                   1                   0:00110111:11001101111111010001101  
444                 0                   0                                              ----  
445                 1                   1                   1:01100100:10101011101101111110101  
446                 1                   1                   0:11111111:00000000000000000000000  
447                 1                   1                   0:00000000:00000000000000000000000  
448                 0                   0                                              ----  
449                 1                   1                   1:00000000:00000000000000000000000  
450                 0                   0                                              ----  
451                 1                   1                   1:10001011:11001101011011101101011  
452                 0                   0                                              ----  
453                 1                   1                   0:10101100:01110001000110110011111  
454                 1                   1                   0:00000000:00000000000000000000001  
455                 0                   0                                              ----  
456                 0                   0                                              ----  
457                 1                   1                   1:11111111:00000000000000000000000  
458                 1                   1                   0:10100010:00111110001010111100100  
459                 0                   0                                              ----  
460                 1                   1                   1:11011010:10111100000100101001001  
461                 1                   1                   0:11111111:00000000000000000000001  
462                 1                   1                   1:10000110:01000111100101100110111  
463                 1                   1                   0:00000000:00100011100000111000101  
464                 0                   0                                              ----  
465                 1                   1                   1:01111101:10001111111001101101100  
466                 1                   1                   0:10101001:11101110100011100100101  
467                 1                   1                   1:01011011:10010000000101101111000  
468                 0                   0                                              ----  
469                 1                   1                   1:10011001:00010011011011010101011  
470                 0                   0                                              ----  
471                 1                   1                   1:11111111:00000000000000000000000  
472                 1                   1                   0:11000011:00010010100001011011110  
473                 1                   1                   0:11111111:00000000000000000000000  
474                 1                   1                   0:00101010:01101110001111101001000  
475                 1                   1                   0:11111111:00000000000000000000000  
476                 1                   1                   0:00000000:00000000000000000000001  
477                 0                   0                                              ----  
478                 1                   1                   1:00100011:10000001101101111100100  
479                 1                   1                   1:00000011:00101011000000001000001  
480                 1                   1                   1:11101010:11010011010001011110001  
481                 1                   1                   0:01100011:11000011111101100010010  
482                 1                   1                   1:10001101:11001010000011000100011  
483                 1                   1                   0:01000000:00000100110110000110001  
484                 1                   1                   0:00000000:00000000000000000000000  
485                 1                   1                   0:11111111:00000000000000000000001  
486                 1                   1                   1:00101001:10101110101100001111000  
487                 0                   0                                              ----  
488                 1                   1                   1:00001110:00100010100010101010111  
489                 0                   1                                              ----  
490                 0                   1                                              ----  
491                 0                   0                                              ----  
492                 1                   1                   1:10010011:00000110011111000010010  
493                 1                   1                   0:11111111:00000000000000000000001  
494                 1                   1                   0:01001101:00110000010010001001101  
495                 1                   1                   0:10011101:11011110110101001011111  
496                 0                   0                                              ----  
497                 1                   1                   0:11010110:00100000010001111000000  
498                 1                   1                   0:11111111:00000000000000000000000  
499                 1                   1                   1:00101110:01001110010100110001011  
500                 1                   1                   1:01110101:00001111111011000011110  
501                 1                   1                   1:00010001:11101000000100010100001  
502                 1                   1                   1:11110100:00000100110101000000001  
503                 0                   1                                              ----  
504                 1                   1                   1:10000001:11001101010001001011101  
505                 1                   1                   0:11000111:00001010011001110110000  
506                 0                   1                                              ----  
507                 1                   1                   1:00110011:00000110001010101110000  
508                 1                   1                   1:01100001:01100010011100000110001  
509                 1                   1                   1:11111111:00000000000000000000000  
510                 1                   1                   1:10101000:10110110011000010010001  
511                 1                   1                   0:00011101:00101111101100000110010  
512                 1                   1                   1:11100111:11000111011011101010011  
513                 1                   1                   0:00000000:00000000000000000000000  
514                 1                   1                   1:01100000:01100010011001011111001  
515                 0                   1                                              ----  
516                 1                   1                   0:11111111:00000000000000000000000  
517                 1                   1                   1:10101110:11001010111010010001100  
518                 1                   1                   1:00011111:00101101110001110011001  
519                 0                   1                                              ----  
520                 1                   1                   0:11111111:00000000000000000000000  
521                 1                   1                   1:01010000:10111010001011110101101  
522                 1                   1                   0:11111111:00000000000000000000001  
523                 1                   1                   0:10000011:01110101001000001010011  
524                 1                   1                   1:11101101:01101100000101000010011  
525                 1                   1                   0:00000000:00000000000000000000000  
526                 0                   1                                              ----  
527                 1                   1                   1:01011001:11110101010000100000100  
528                 1                   1                   1:11110011:11111100100110011110010  
529                 1                   1                   0:01010001:01000011001101000100110  
530                 1                   1                   1:01011010:10000111000100101011101  
531                 1                   1                   0:11111111:00000000000000000000000  
532                 1                   1                   1:10000000:00110001011110111110111  
533                 0                   1                                              ----  
534                 0                   1                                              ----  
535                 0                   1                                              ----  
536                 0                   1                                              ----  
537                 0                   1                                              ----  
538                 0                   1                                              ----  
539                 0                   1                                              ----  
540                 0                   1                                              ----  
541                 0                   1                                              ----  
542                 0                   1                                              ----  
543                 0                   1                                              ----  
544                 0                   1                                              ----  
545                 0                   1                                              ----  
546                 0                   1                                              ----  
547                 0                   1                                              ----  
548                 0                   1                                              ----  
549                 0                   1                                              ----  
550                 0                   1                                              ----  
551                 0                   1                                              ----  
552                 0                   1                                              ----  
553                 0                   1                                              ----  
554                 0                   1                                              ----  
555                 0                   1                                              ----  
556                 0                   1                                              ----  
557                 0                   1                                              ----  
558                 0                   1                                              ----  
559                 0                   1                                              ----  
560                 0                   1                                              ----  
561                 0                   1                                              ----  
562                 0                   1                                              ----  
563                 0                   1                                              ----  
564                 0                   1                                              ----  
565                 0                   1                                              ----  
566                 0                   1                                              ----  
567                 0                   1                                              ----  
568                 0                   1                                              ----  
569                 0                   1                                              ----  
570                 0                   1                                              ----  
571                 0                   1                                              ----  
572                 0                   1                                              ----  
573                 0                   1                                              ----  
574                 0                   1                                              ----  
575                 0                   1                                              ----  
576                 0                   1                                              ----  
577                 0                   1                                              ----  
578                 0                   1                                              ----  
579                 0                   1                                              ----  
580                 0                   1                                              ----  
581                 0                   1                                              ----  
582                 0                   1                                              ----  
583                 0                   1                                              ----  
584                 0                   1                                              ----  
585                 0                   1                                              ----  
586                 0                   1                                              ----  
587                 0                   1                                              ----  
588                 0                   1                                              ----  
589                 0                   1                                              ----  
590                 0                   1                                              ----  
591                 0                   1                                              ----  
592                 0                   1                                              ----  
593                 0                   1                                              ----  
594                 0                   1                                              ----  
595                 0                   1                                              ----  
596                 0                   1                                              ----  
597                 0                   1                                              ----  
598                 0                   1                                              ----  
599                 0                   1                                              ----  
600                 0                   1                                              ----  
601                 0                   1                                              ----  
602                 0                   1                                              ----  
603                 0                   1                                              ----  
604                 0                   1                                              ----  
605                 0                   1                                              ----  
606                 0                   1                                              ----  
607                 0                   1                                              ----  
608                 0                   1                                              ----  
609                 0                   1                                              ----  
610                 0                   1                                              ----  
611                 0                   1                                              ----  
612                 0                   1                                              ----  
613                 0                   1                                              ----  
614                 0                   1                                              ----  
615                 0                   1                                              ----  
616                 0                   1                                              ----  
617                 0                   1                                              ----  
618                 0                   1                                              ----  
619                 0                   1                                              ----  
620                 0                   1                                              ----  
621                 0                   1                                              ----  
622                 0                   1                                              ----  
623                 0                   1                                              ----  
624                 0                   1                                              ----  
625                 0                   1                                              ----  
626                 0                   1                                              ----  
627                 0                   1                                              ----  
628                 0                   1                                              ----  
629                 0                   1                                              ----  
630                 0                   1                                              ----  
631                 0                   1                                              ----  
632                 0                   1                                              ----  
633                 0                   1                                              ----  
634                 0                   1                                              ----  
635                 0                   1                                              ----  
636                 0                   1                                              ----  
637                 0                   1                                              ----  
638                 0                   1                                              ----  
639                 0                   1                                              ----  
640                 0                   1                                              ----  
641                 0                   1                                              ----  
642                 0                   1                                              ----  
643                 0                   1                                              ----  
644                 0                   1                                              ----  
645                 0                   1                                              ----  
646                 0                   1                                              ----  
647                 0                   1                                              ----  
648                 0                   1                                              ----  
649                 0                   1                                              ----  
650                 0                   1                                              ----  
651                 0                   1                                              ----  
652                 0                   1                                              ----  
653                 0                   1                                              ----  
654                 0                   1                                              ----  
655                 0                   1                                              ----  
656                 0                   1                                              ----  
657                 0                   1                                              ----  
658                 0                   1                                              ----  
659                 0                   1                                              ----  
660                 0                   1                                              ----  
661                 0                   1                                              ----  
662                 0                   1                                              ----  
663                 0                   1                                              ----  
664                 0                   1                                              ----  
665                 0                   1                                              ----  
666                 0                   1                                              ----  
667                 0                   1                                              ----  
668                 0                   1                                              ----  
669                 0                   1                                              ----  
670                 0                   1                                              ----  
671                 0                   1                                              ----  
672                 0                   1                                              ----  
